City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,juneau,58.3019,-134.4197,2.0,91,100,0.0,US,1675984782
84,darnah,32.767,22.6367,12.2,80,99,10.04,LY,1675984856
85,nemuro,43.3236,145.575,-11.8,68,16,2.97,JP,1675984663
86,hasaki,35.7333,140.8333,2.9,63,100,5.96,JP,1675984857
87,bonavista,48.6499,-53.1147,-8.2,71,100,10.77,CA,1675984857
88,outlook,51.5001,-107.0513,-5.98,86,64,3.16,CA,1675984857
89,san cristobal,7.7669,-72.225,21.1,80,95,0.76,VE,1675984858
90,khuzdar,27.7384,66.6434,13.73,54,3,3.1,PK,1675984858
91,wajir,1.7471,40.0573,25.76,60,3,7.29,KE,1675984858
92,kieta,-6.2167,155.6333,28.24,77,100,1.67,PG,1675984859
93,ilulissat,69.2167,-51.1,-14.99,78,100,3.09,GL,1675984859
94,ossora,59.2353,163.0719,-13.66,93,100,9.0,RU,1675984860
95,saskylakh,71.9167,114.0833,-43.5,98,54,3.06,RU,1675984860
96,bathsheba,13.2167,-59.5167,25.34,73,20,8.23,BB,1675984860
97,ipua,-20.4381,-48.0122,22.32,88,20,1.73,BR,1675984861
98,tuktoyaktuk,69.4541,-133.0374,-24.0,77,100,6.17,CA,1675984861
99,ahipara,-35.1667,173.1667,21.07,50,60,2.75,NZ,1675984862
100,pacific grove,36.6177,-121.9166,22.82,56,0,2.06,US,1675984862
101,tibati,6.4667,12.6333,21.09,23,51,0.92,CM,1675984863
102,mahebourg,-20.4081,57.7,26.16,78,75,3.6,MU,1675984864
103,buarcos,40.166,-8.8768,7.19,68,1,3.85,PT,1675984864
104,ginir,7.1333,40.7,15.48,35,4,1.46,ET,1675984865
105,coihaique,-45.5752,-72.0662,15.97,51,40,3.09,CL,1675984865
106,severo-kurilsk,50.6789,156.125,-5.5,68,95,12.5,RU,1675984865
107,dingle,10.9995,122.6711,23.71,93,87,3.29,PH,1675984867
108,pathein,16.7833,94.7333,19.81,79,100,3.18,MM,1675984867
109,laguna,38.421,-121.4238,20.05,55,0,2.57,US,1675984868
110,mersing,2.4312,103.8405,23.95,94,20,1.54,MY,1675984868
111,healesville,-37.65,145.5167,26.1,44,19,1.46,AU,1675984869
112,north bend,43.4065,-124.2243,16.07,54,0,5.14,US,1675984869
113,el alto,-4.2714,-81.2147,24.81,77,36,3.98,PE,1675984869
114,luanda,-8.8368,13.2343,26.0,78,8,3.09,AO,1675984820
115,byron bay,-28.65,153.6167,24.41,59,29,4.19,AU,1675984870
116,nyurba,63.2842,118.3319,-40.29,98,96,1.81,RU,1675984871
117,airai,-8.9266,125.4092,16.95,92,100,1.38,TL,1675984871
118,prince george,53.9166,-122.753,4.69,66,0,7.72,CA,1675984872
119,timra,62.487,17.3257,0.82,64,0,5.14,SE,1675984872
120,coquimbo,-29.9533,-71.3436,19.85,77,20,4.63,CL,1675984873
121,puerto ayora,-0.7393,-90.3518,26.42,91,59,5.81,EC,1675984626
